cases	page	size	vus	p50_ms	p95_ms	p99_ms	throughput_rps	failure_rate
10000	0	10	1	346.757	401.1778	429.64596	2.780767	0
10000	500	10	1	388.866	537.7123	691.04086	2.409848	0
10000	999	10	1	354.56	618.9272	775.08544	2.489003	0
