run	http_status	api_latency_ms	aggregate_calls	aggregate_exec_ms	auth_user_select_calls	total_selects	result
1	200	167.332	1	88.552	1	2	90000/5000/7500/15000
2	200	211.351	1	57.182	1	2	90000/5000/7500/15000
3	200	163.018	1	64.988	1	2	90000/5000/7500/15000
median	200	167.332	1	64.988	1	2	90000/5000/7500/15000
